Employee_Number,Age,Age_Group,Attrition,Business_Travel,Daily_Rate,Department,Distance_From_Home,Education,Education_Field,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Rate,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_Since_Last_Promotion,Years_With_Curr_Manager,Date_Birth,Remote_Work,Satisfaction_Group
1979,31,26-35,False,Unknown,697,Research & Development,10,3,Unknown,3,F,40,3,3, Research Director ,3,Married,26862,4,False,0.2,4,3,1,13,2,4,11,4,8,1992,True,A
2008,35,26-35,False,Unknown,1395,Research & Development,9,4,Medical,2,M,48,3,2, Research Scientist ,3,Unknown,18698,1,False,0.19,3,2,0,10,5,3,10,0,8,1988,True,A
2009,33,26-35,False,Travel Rarely,501,Research & Development,15,2,Unknown,2,F,95,3,2, Healthcare Representative ,4,Married,21653,0,True,0.13,3,1,1,11,6,3,9,8,1,1990,True,A
2014,39,36-45,False,Travel Rarely,116,Research & Development,24,1,Life Sciences,1,M,52,3,2, Research Scientist ,4,Single,5340,7,False,0.13,3,1,0,11,2,3,7,1,7,1984,False,A
2169,36,36-45,False,Travel Rarely,557,Sales,46,3,Unknown,4,F,94,2,3, Sales Executive ,4,Married,12695,0,False,0.19,3,3,2,10,2,3,9,3,4,1987,True,A
2034,41,36-45,False,Travel Rarely,582,Research & Development,28,4,Life Sciences,1,F,60,2,4, Manufacturing Director ,2,Married,5640,0,False,0.23,3,3,1,21,3,3,20,0,10,1982,True,B
2035,34,26-35,False,Unknown,704,Sales,28,3,Marketing,4,F,95,2,2, Sales Executive ,3,Married,8978,1,False,0.21,4,4,2,8,2,3,8,1,7,1989,False,A
2170,38,36-45,False,Travel Rarely,99999,Sales,10,2,Unknown,1,F,100,3,2, Sales Executive ,4,Married,5982,1,False,0.11,3,3,1,10,1,3,10,1,9,1985,True,A
2062,39,36-45,False,Travel Rarely,613,Research & Development,6,1,Unknown,4,M,42,2,3, Healthcare Representative ,1,Unknown,21457,4,Unknown,0.15,3,1,1,11,5,3,7,1,7,1984,True,B
28,34,26-35,False,Travel Rarely,419,Research & Development,7,4,Unknown,1,F,53,3,3, Research Director ,2,Single,21293,0,False,0.11,3,3,0,11,4,3,12,2,11,1989,False,B
2171,44,36-45,False,Travel Rarely,477,Research & Development,7,4,Medical,1,F,42,2,3, Healthcare Representative ,4,Married,2094,3,Unknown,0.14,3,4,1,24,4,3,22,5,17,1979,True,A
62,46,46-55,False,Unknown,1211,Sales,5,4,Unknown,1,M,98,3,2, Sales Executive ,4,Single,20445,4,Unknown,0.21,3,3,0,14,4,3,9,0,8,1977,True,A
199,41,36-45,False,Travel Frequently,857,Research & Development,10,3,Life Sciences,4,M,91,2,4, Manager ,1,Divorced,12888,4,Unknown,0.13,3,2,1,11,2,2,7,7,7,1982,False,B
343,39,36-45,False,Unknown,505,Research & Development,2,4,Unknown,3,F,64,3,3, Healthcare Representative ,3,Single,6420,0,False,0.25,4,4,0,20,1,3,19,11,8,1984,False,A
351,42,36-45,False,Travel Rarely,269,Research & Development,2,3,Medical,4,F,56,2,1, Laboratory Technician ,1,Divorced,8007,0,True,0.11,3,3,1,10,4,3,9,7,8,1981,True,B
428,33,26-35,False,Travel Frequently,553,Research & Development,5,4,Unknown,4,F,74,3,3, Manager ,2,Married,23364,6,Unknown,0.11,3,2,2,12,2,3,10,8,8,1990,True,B
464,35,26-35,False,Travel Rarely,1296,Research & Development,5,4,Technical Degree,3,M,62,3,3, Manufacturing Director ,2,Single,18264,0,False,0.13,3,4,0,17,5,3,16,0,13,1988,True,B
2172,33,26-35,True,Travel Rarely,1277,Unknown,15,1,Medical,2,M,56,3,3, Manager ,3,Married,24619,7,Unknown,0.12,3,4,0,15,2,4,7,7,7,1990,True,A
2173,40,36-45,False,Travel Rarely,302,Research & Development,6,3,Life Sciences,2,F,75,3,4, Manufacturing Director ,3,Single,20364,7,False,0.15,3,3,0,22,3,3,20,5,13,1983,False,A
731,41,36-45,False,Travel Rarely,427,Unknown,10,4,Human Resources,2,M,73,2,5, Manager ,4,Divorced,8861,3,False,0.15,3,2,3,23,2,2,21,12,6,1982,False,A
764,27,26-35,False,Unknown,975,Research & Development,7,3,Unknown,4,F,55,2,2, Healthcare Representative ,1,Unknown,23398,8,False,0.19,3,1,0,11,2,1,7,0,7,1996,False,B
2174,52,46-55,False,Travel Rarely,621,Unknown,3,4,Marketing,3,M,31,2,4, Manager ,1,Unknown,10084,1,Unknown,0.11,3,1,0,11,3,4,34,1,16,1971,True,B
851,51,46-55,False,Travel Rarely,1318,Unknown,26,4,Marketing,1,F,66,3,4, Manager ,3,Married,5594,2,False,0.14,3,3,1,11,2,2,20,4,17,1972,False,A
903,47,46-55,False,Travel Rarely,249,Sales,2,2,Marketing,3,F,35,3,2, Sales Executive ,4,Unknown,17783,0,Unknown,0.22,4,1,1,8,2,3,7,7,7,1976,True,A
905,50,46-55,False,Non Travel,881,Research & Development,2,4,Unknown,1,M,98,3,4, Manager ,1,Divorced,4544,1,Unknown,0.11,3,4,1,31,3,3,31,14,7,1973,False,B
942,35,26-35,False,Travel Rarely,1137,Research & Development,21,1,Life Sciences,4,F,51,3,2, Healthcare Representative ,4,Married,19170,1,Unknown,0.25,4,4,1,10,2,1,10,0,7,1988,True,A
1026,39,36-45,False,Travel Rarely,466,Research & Development,1,1,Unknown,4,F,65,2,4, Manufacturing Director ,4,Married,7060,1,False,0.16,3,3,1,11,3,3,21,11,8,1984,True,A
2175,39,36-45,False,Travel Frequently,945,Research & Development,22,3,Medical,4,F,82,3,3, Manufacturing Director ,1,Single,5083,1,Unknown,0.13,3,3,0,11,2,3,21,2,8,1984,False,B
1085,41,36-45,False,Unknown,509,Research & Development,7,2,Unknown,2,F,43,4,1, Research Scientist ,3,Unknown,18863,1,False,0.13,3,3,0,11,3,3,10,0,8,1982,False,A
2176,44,36-45,True,Unknown,1376,Human Resources,1,2,Medical,2,M,91,2,3, Human Resources ,1,Married,2326,9,False,0.14,3,4,1,24,1,3,20,3,6,1979,True,B
1109,42,36-45,False,Unknown,469,Unknown,2,2,Medical,4,M,35,3,4, Manager ,1,Unknown,14399,0,False,0.17,3,4,1,23,3,3,22,13,7,1981,False,B
1118,52,46-55,False,Travel Rarely,994,Research & Development,7,4,Life Sciences,2,M,87,3,3, Healthcare Representative ,2,Single,15322,7,Unknown,0.19,3,4,0,18,4,3,8,4,0,1971,True,B
1152,38,36-45,False,Unknown,433,Unknown,1,3,Unknown,3,M,37,4,1, Human Resources ,3,Unknown,6004,1,False,0.13,3,4,1,7,2,4,7,5,0,1985,True,A
2177,46,46-55,False,Unknown,991,Human Resources,1,2,Life Sciences,4,F,44,3,1, Human Resources ,1,Unknown,22957,6,Unknown,0.12,3,3,0,10,3,4,7,5,7,1977,True,B
1350,35,26-35,False,Unknown,482,Research & Development,4,4,Life Sciences,3,M,87,3,2, Research Scientist ,3,Single,2690,1,Unknown,0.11,3,2,0,11,3,3,9,1,1,1988,False,A
1514,28,26-35,False,Travel Rarely,1083,Research & Development,29,1,Life Sciences,3,M,96,1,2, Manufacturing Director ,2,Married,3173,1,Unknown,0.14,3,2,2,8,2,2,8,1,7,1995,True,B
1523,44,36-45,False,Unknown,136,Research & Development,28,3,Life Sciences,4,M,32,3,4, Research Director ,1,Married,22074,3,False,0.13,3,3,1,11,1,4,20,14,17,1979,True,B
1539,50,46-55,False,Unknown,333,Research & Development,22,5,Unknown,3,M,88,1,4, Research Director ,4,Unknown,24450,1,Unknown,0.13,3,4,0,11,2,3,32,13,9,1973,False,A
2178,55,46-55,False,Travel Rarely,685,Unknown,23,5,Marketing,3,M,60,2,5, Manager ,4,Unknown,23037,1,False,0.21,4,3,1,36,3,3,36,2,13,1968,True,A
1588,39,36-45,False,Unknown,1462,Sales,6,3,Unknown,4,M,38,4,3, Sales Executive ,3,Married,4658,2,False,0.11,3,1,1,11,3,3,7,7,6,1984,True,A
1617,49,46-55,False,Unknown,722,Research & Development,13,4,Unknown,2,F,84,3,1, Laboratory Technician ,1,Unknown,22102,1,Unknown,0.14,3,4,1,10,3,2,9,1,4,1974,True,B
1719,45,36-45,False,Unknown,99999,Research & Development,28,2,Technical Degree,4,F,48,2,4, Research Director ,2,Single,17119,1,Unknown,0.11,3,3,0,21,2,3,21,8,6,1978,False,B
2179,46,46-55,False,Unknown,1277,Sales,2,3,Unknown,3,M,74,3,3, Sales Executive ,4,Unknown,5596,4,Unknown,0.12,3,2,1,11,5,2,10,0,3,1977,False,A
1870,27,26-35,False,Unknown,1131,Research & Development,15,3,Unknown,4,F,77,2,1, Research Scientist ,1,Married,23844,0,False,0.19,3,4,1,11,2,3,7,7,3,1996,False,B
2031,42,36-45,False,Travel Rarely,300,Unknown,2,3,Unknown,1,M,56,3,5, Manager ,3,Married,17312,5,Unknown,0.11,3,1,0,24,2,2,22,4,14,1981,True,A
2065,49,46-55,False,Unknown,1023,Sales,2,3,Unknown,4,M,63,2,2, Sales Executive ,2,Married,13243,2,Unknown,0.14,3,4,0,17,3,2,9,0,8,1974,True,B
15,29,26-35,False,Travel Rarely,153,Research & Development,15,2,Life Sciences,4,F,49,2,2, Laboratory Technician ,3,Single,12682,0,True,0.12,3,4,0,10,3,3,9,0,8,1994,True,A
60,34,26-35,False,Non Travel,1065,Sales,12,4,Marketing,2,M,72,3,2, Sales Executive ,3,Unknown,10034,0,False,0.2,4,3,0,11,2,3,9,8,7,1989,False,A
2180,37,36-45,False,Unknown,1115,Research & Development,1,4,Unknown,1,M,51,2,2, Manufacturing Director ,3,Divorced,2689,1,False,0.18,3,3,1,11,2,3,7,0,7,1986,False,A
85,36,36-45,False,Unknown,1195,Research & Development,11,3,Unknown,2,M,95,2,2, Manufacturing Director ,2,Single,22656,1,False,0.13,3,3,0,6,3,3,6,0,3,1987,True,B
2181,45,36-45,False,Unknown,1316,Research & Development,29,3,Unknown,3,M,83,3,1, Research Scientist ,4,Single,9752,5,Unknown,0.13,3,2,0,9,2,2,6,0,3,1978,True,A
346,29,26-35,False,Travel Rarely,665,Research & Development,15,3,Unknown,3,M,60,3,1, Research Scientist ,4,Unknown,22673,1,False,0.19,3,1,0,6,1,3,6,1,5,1994,False,A
384,26,26-35,False,Unknown,1479,Research & Development,1,3,Unknown,3,F,84,3,2, Manufacturing Director ,2,Unknown,26767,1,False,0.2,4,1,1,6,6,1,6,1,4,1997,False,B
498,28,26-35,False,Unknown,304,Sales,9,4,Life Sciences,2,M,92,3,2, Sales Executive ,4,Single,20750,1,False,0.16,3,4,0,11,1,3,7,0,7,1995,True,A
551,42,36-45,False,Travel Frequently,1368,Research & Development,30,4,Technical Degree,4,F,99999,2,2, Healthcare Representative ,4,Married,4386,0,False,0.11,3,4,3,7,4,4,6,0,4,1981,True,A
604,31,26-35,False,Travel Rarely,828,Sales,2,1,Life Sciences,2,M,77,3,2, Sales Executive ,4,Unknown,8346,4,True,0.13,3,3,0,10,2,4,6,0,5,1992,True,A
2182,37,36-45,False,Travel Rarely,799,Research & Development,47,3,Unknown,4,F,59,3,3, Manufacturing Director ,4,Single,23848,4,Unknown,0.17,3,4,0,11,3,4,6,1,2,1986,True,A
626,37,36-45,False,Non Travel,142,Sales,9,4,Unknown,1,M,69,3,3, Sales Executive ,2,Divorced,24666,1,False,0.13,3,4,1,9,6,3,9,7,7,1986,False,B
2183,37,36-45,False,Travel Rarely,446,Research & Development,1,4,Life Sciences,2,F,65,3,2, Manufacturing Director ,2,Married,15701,6,Unknown,0.12,3,2,1,8,2,2,6,4,3,1986,False,B
2184,24,18-25,False,Travel Rarely,691,Research & Development,23,3,Medical,2,M,89,4,1, Research Scientist ,4,Unknown,21630,1,Unknown,0.11,3,2,2,11,3,3,6,1,4,1999,True,A
644,50,46-55,False,Unknown,1246,Unknown,3,3,Unknown,1,M,99,3,5, Manager ,2,Married,7999,1,False,0.11,3,3,1,11,2,3,32,10,7,1973,False,B
649,34,26-35,False,Unknown,254,Research & Development,1,2,Life Sciences,2,M,83,2,1, Research Scientist ,4,Unknown,22794,1,True,0.13,3,4,1,6,3,3,6,1,3,1989,True,A
714,27,26-35,False,Travel Frequently,1410,Sales,3,1,Medical,4,F,71,4,2, Sales Executive ,4,Unknown,16673,1,Unknown,0.2,3,2,2,11,3,3,6,0,4,1996,False,A
781,25,18-25,False,Unknown,883,Sales,42,1,Unknown,4,F,32,3,2, Sales Executive ,4,Single,22807,1,False,0.23,4,2,0,6,5,2,6,1,4,1998,False,A
2185,34,26-35,False,Unknown,304,Sales,25,3,Other,4,M,60,3,2, Sales Executive ,4,Single,18686,1,False,0.22,4,3,0,6,5,3,6,1,4,1989,True,A
804,34,26-35,False,Unknown,121,Research & Development,2,4,Unknown,3,F,86,2,1, Research Scientist ,1,Unknown,7530,1,Unknown,0.11,3,3,0,6,3,3,6,1,3,1989,True,B
2186,35,26-35,False,Unknown,950,Research & Development,7,3,Other,3,M,59,3,3, Manufacturing Director ,3,Single,18869,3,False,0.21,4,2,0,17,3,4,8,1,6,1988,False,A
856,35,26-35,False,Unknown,1343,Research & Development,16,1,Medical,2,F,53,2,1, Research Scientist ,1,Unknown,17852,1,Unknown,0.11,3,4,0,6,3,2,6,1,1,1988,False,B
998,33,26-35,False,Unknown,827,Research & Development,1,4,Unknown,3,F,84,4,2, Healthcare Representative ,2,Married,20161,1,True,0.13,3,1,1,11,2,3,6,1,2,1990,True,B
1120,29,26-35,False,Unknown,1107,Research & Development,28,4,Life Sciences,3,F,93,3,1, Research Scientist ,4,Divorced,26968,4,False,0.22,4,1,1,11,1,3,7,1,7,1994,False,A
1143,29,26-35,False,Travel Frequently,490,Research & Development,10,3,Unknown,4,F,61,3,1, Research Scientist ,2,Divorced,17940,0,False,0.14,3,4,2,8,2,2,7,1,1,1994,True,B
2187,34,26-35,False,Unknown,1400,Sales,9,1,Life Sciences,2,F,70,3,2, Sales Executive ,3,Married,5829,1,Unknown,0.2,4,1,0,11,3,2,6,1,3,1989,False,A
2188,28,26-35,False,Travel Rarely,1179,Research & Development,19,4,Medical,4,M,78,2,1, Laboratory Technician ,1,Married,12449,1,Unknown,0.12,3,3,3,6,2,3,6,3,3,1995,False,B
2189,44,36-45,False,Unknown,1117,Research & Development,2,1,Life Sciences,1,F,72,4,1, Research Scientist ,4,Married,19982,1,Unknown,0.13,3,4,1,10,5,3,10,7,7,1979,False,A
1251,31,26-35,False,Travel Rarely,1332,Research & Development,11,2,Unknown,3,M,80,3,2, Healthcare Representative ,1,Married,17089,1,True,0.12,3,4,0,6,2,2,6,0,1,1992,False,B
2190,26,26-35,False,Unknown,583,Research & Development,4,2,Life Sciences,3,M,53,3,1, Research Scientist ,4,Unknown,9973,1,True,0.2,4,2,0,11,2,2,8,2,2,1997,False,A
1438,47,46-55,False,Travel Rarely,465,Research & Development,1,3,Unknown,1,M,74,3,1, Research Scientist ,4,Unknown,10205,7,False,0.12,3,3,1,17,2,2,6,1,2,1976,True,A
2191,37,36-45,False,Unknown,1413,Research & Development,5,2,Unknown,3,M,84,4,1, Laboratory Technician ,3,Single,25470,0,False,0.14,3,1,0,7,2,1,6,1,3,1986,False,A
1574,32,26-35,False,Unknown,1200,Research & Development,1,4,Unknown,4,M,99999,3,2, Research Scientist ,1,Married,25174,4,Unknown,0.14,3,2,1,9,3,2,6,1,2,1991,True,B
1671,32,26-35,False,Unknown,977,Research & Development,2,3,Medical,4,M,45,3,2, Research Scientist ,2,Divorced,25518,0,False,0.13,3,3,2,10,4,2,9,1,6,1991,True,B
2192,33,26-35,False,Non Travel,530,Sales,16,3,Life Sciences,3,F,36,3,2, Sales Executive ,4,Unknown,16130,1,True,0.25,4,3,1,7,2,3,6,1,2,1990,False,A
2193,47,46-55,True,Unknown,1093,Sales,9,3,Unknown,3,M,82,1,4, Sales Executive ,3,Married,24164,7,False,0.11,3,3,0,25,3,1,23,14,10,1976,True,A
2194,41,36-45,True,Unknown,1102,Sales,1,2,Unknown,2,F,94,3,2, Sales Executive ,4,Unknown,19479,8,True,0.11,3,1,0,8,0,1,6,0,5,1982,False,A
2195,35,26-35,False,Travel Rarely,809,Research & Development,16,3,Medical,1,M,84,4,1, Laboratory Technician ,2,Married,16479,0,Unknown,0.13,3,3,1,6,5,3,5,0,3,1988,False,B
94,29,26-35,False,Travel Rarely,1328,Research & Development,2,3,Life Sciences,3,M,76,3,1, Research Scientist ,2,Married,4956,0,False,0.23,4,4,1,11,3,3,5,0,4,1994,False,B
2196,32,26-35,False,Travel Rarely,548,Research & Development,1,3,Life Sciences,2,M,66,3,2, Research Scientist ,2,Unknown,7346,1,False,0.17,3,2,2,10,3,3,10,0,9,1991,True,B
2197,35,26-35,False,Travel Rarely,1214,Research & Development,1,3,Medical,2,M,30,2,1, Research Scientist ,3,Single,26278,1,False,0.18,3,1,0,6,3,3,6,0,4,1988,False,A
112,56,56-65,False,Unknown,99999,Research & Development,13,3,Unknown,4,M,99999,1,3, Manufacturing Director ,4,Unknown,21698,4,False,0.11,3,1,0,37,3,2,6,0,2,1967,True,A
129,28,26-35,False,Unknown,120,Sales,4,3,Medical,2,M,43,3,2, Sales Executive ,3,Unknown,8863,1,Unknown,0.15,3,2,0,5,3,4,5,0,4,1995,True,A
142,25,18-25,True,Travel Rarely,240,Sales,5,3,Unknown,3,M,46,2,2, Sales Executive ,3,Single,26959,1,True,0.11,3,4,0,11,1,3,6,0,3,1998,True,A
161,56,56-65,True,Unknown,441,Research & Development,14,4,Life Sciences,2,F,72,3,1, Research Scientist ,2,Unknown,4510,9,Unknown,0.18,3,1,3,7,2,3,5,4,3,1967,True,B
164,26,26-35,False,Unknown,841,Research & Development,6,3,Unknown,3,F,46,2,1, Research Scientist ,2,Married,23300,1,Unknown,0.19,3,3,0,5,3,2,5,4,3,1997,False,B
190,32,26-35,True,Unknown,1033,Research & Development,9,3,Medical,1,F,41,3,1, Laboratory Technician ,1,Unknown,10224,7,False,0.22,4,1,0,11,2,4,5,0,4,1991,False,B
194,30,26-35,False,Travel Rarely,99999,Research & Development,18,3,Life Sciences,1,F,75,3,1, Research Scientist ,3,Single,23910,1,False,0.14,3,3,0,11,4,2,5,0,4,1993,True,A
226,50,46-55,False,Travel Rarely,1452,Unknown,11,3,Unknown,3,F,53,3,5, Manager ,2,Unknown,17053,3,Unknown,0.15,3,2,0,11,5,3,5,4,4,1973,False,B
231,32,26-35,False,Unknown,120,Research & Development,6,5,Life Sciences,3,M,43,3,1, Research Scientist ,3,Unknown,12430,3,False,0.2,4,1,0,8,2,3,5,1,4,1991,False,A
240,45,36-45,False,Travel Rarely,1268,Sales,4,2,Unknown,3,F,30,3,2, Sales Executive ,1,Unknown,6319,4,Unknown,0.11,3,1,1,9,3,4,5,0,3,1978,False,B
262,43,36-45,False,Unknown,99999,Research & Development,7,3,Unknown,4,M,37,4,1, Research Scientist ,4,Divorced,5228,4,False,0.14,3,4,3,7,3,4,5,2,2,1980,True,A
283,29,26-35,True,Unknown,121,Sales,27,3,Marketing,2,F,35,3,3, Sales Executive ,4,Married,24525,1,Unknown,0.22,4,4,3,10,3,2,10,1,9,1994,True,A
308,31,26-35,False,Non Travel,99999,Research & Development,1,4,Medical,3,M,90,1,2, Manufacturing Director ,3,Unknown,4381,0,Unknown,0.12,3,4,1,6,2,3,5,1,4,1992,True,A
325,33,26-35,True,Unknown,813,Research & Development,14,3,Unknown,3,M,58,3,1, Laboratory Technician ,4,Married,22149,5,True,0.13,3,3,1,8,2,1,5,0,4,1990,False,A
355,31,26-35,True,Unknown,307,Research & Development,29,2,Unknown,3,M,71,2,1, Laboratory Technician ,2,Unknown,11652,0,False,0.11,3,2,0,11,2,4,5,1,4,1992,True,B
378,37,36-45,False,Unknown,228,Sales,6,4,Unknown,3,M,99999,3,2, Sales Executive ,4,Unknown,22825,4,False,0.14,3,2,1,11,5,4,5,0,1,1986,True,A
2198,50,46-55,False,Unknown,797,Research & Development,4,1,Unknown,1,M,96,3,5, Research Director ,2,Divorced,15815,3,False,0.14,3,1,2,28,4,2,10,1,6,1973,False,B
2199,42,36-45,False,Travel Frequently,555,Sales,26,3,Unknown,3,F,77,3,4, Sales Executive ,2,Married,14864,5,Unknown,0.14,3,4,1,11,2,3,20,4,8,1981,True,B
2200,27,26-35,False,Unknown,1377,Sales,2,3,Unknown,4,M,74,3,2, Sales Executive ,3,Unknown,5242,1,True,0.11,3,1,0,5,3,3,5,0,4,1996,True,A
449,27,26-35,False,Non Travel,210,Sales,1,1,Marketing,3,M,73,3,2, Sales Executive ,2,Unknown,22107,0,True,0.13,3,4,1,11,0,3,5,1,4,1996,True,B
466,41,36-45,False,Travel Rarely,483,Research & Development,6,3,Unknown,4,M,99999,2,2, Manufacturing Director ,2,Single,10110,6,True,0.15,3,4,0,11,3,3,5,1,2,1982,True,B
486,37,36-45,False,Travel Rarely,921,Research & Development,10,3,Medical,3,F,98,3,1, Laboratory Technician ,1,Unknown,17663,6,False,0.2,4,2,1,11,3,3,5,0,3,1986,True,B
492,40,36-45,True,Unknown,575,Sales,22,2,Unknown,3,M,68,2,2, Sales Executive ,3,Unknown,6110,2,True,0.12,3,1,2,8,6,3,6,1,0,1983,True,A
505,55,46-55,False,Unknown,1311,Unknown,2,3,Unknown,3,F,97,3,4, Manager ,4,Single,23258,2,True,0.13,3,3,0,11,2,3,5,1,2,1968,False,A
510,26,26-35,True,Travel Frequently,575,Research & Development,3,1,Unknown,3,M,73,3,1, Research Scientist ,1,Unknown,6582,0,Unknown,0.22,4,3,0,11,2,3,6,0,4,1997,True,B
2201,40,36-45,False,Travel Rarely,759,Sales,2,2,Marketing,4,F,46,3,2, Sales Executive ,2,Divorced,22553,7,Unknown,0.12,3,3,2,11,5,3,5,1,3,1983,True,B
527,25,18-25,False,Unknown,891,Sales,4,2,Unknown,2,F,99,2,2, Sales Executive ,4,Single,12090,1,True,0.11,3,2,0,5,3,3,5,1,3,1998,False,A
2202,30,26-35,False,Unknown,1082,Sales,12,3,Unknown,2,F,83,3,2, Sales Executive ,3,Single,19558,0,False,0.11,3,2,0,11,6,3,5,4,4,1993,True,A
2203,52,46-55,False,Travel Rarely,319,Research & Development,32,3,Unknown,4,M,99999,2,3, Manufacturing Director ,3,Married,19609,2,Unknown,0.14,3,3,0,11,4,3,5,0,4,1971,False,A
547,42,36-45,False,Travel Frequently,532,Research & Development,12,2,Unknown,1,F,92,3,2, Research Scientist ,3,Unknown,12932,2,False,0.11,3,2,1,19,3,3,5,0,2,1981,False,A
548,30,26-35,False,Travel Rarely,317,Research & Development,2,3,Life Sciences,3,F,43,1,2, Manufacturing Director ,4,Unknown,24793,2,False,0.2,4,3,0,11,2,3,5,0,2,1993,True,A
577,35,26-35,False,Travel Rarely,144,Research & Development,22,3,Life Sciences,4,M,46,1,1, Laboratory Technician ,3,Single,19225,0,False,0.15,3,3,0,11,2,3,5,4,3,1988,False,A
2204,31,26-35,False,Travel Rarely,688,Unknown,7,3,Unknown,3,M,44,2,3, Manager ,4,Divorced,25291,9,Unknown,0.21,4,3,1,10,3,2,5,0,1,1992,True,A
2205,35,26-35,False,Travel Rarely,195,Sales,1,3,Unknown,1,F,80,3,2, Sales Executive ,3,Single,6698,1,Unknown,0.16,3,4,0,5,3,3,5,0,3,1988,True,A
2206,25,18-25,False,Unknown,622,Unknown,13,1,Unknown,2,M,40,3,1, Sales Representative ,3,Unknown,26376,1,Unknown,0.11,3,3,0,7,1,3,7,0,6,1998,True,A
679,32,26-35,False,Travel Rarely,646,Research & Development,9,4,Unknown,1,F,92,3,2, Research Scientist ,4,Married,18089,1,Unknown,0.12,3,4,1,6,2,3,6,0,5,1991,False,A
785,47,46-55,True,Unknown,719,Sales,27,2,Life Sciences,2,F,77,4,2, Sales Executive ,3,Unknown,10339,4,True,0.12,3,4,0,8,2,3,5,1,3,1976,False,A
861,30,26-35,False,Travel Frequently,1012,Research & Development,5,4,Life Sciences,2,M,99999,2,1, Research Scientist ,4,Divorced,2373,9,False,0.12,3,2,1,10,3,2,5,0,3,1993,True,A
864,45,36-45,False,Unknown,930,Sales,9,3,Marketing,4,M,74,3,3, Sales Executive ,1,Divorced,19239,4,True,0.12,3,3,1,18,2,3,5,0,2,1978,False,B
878,36,36-45,False,Travel Rarely,1278,Unknown,8,3,Life Sciences,1,M,77,2,1, Human Resources ,1,Unknown,8635,0,Unknown,0.21,4,3,0,11,3,3,5,0,3,1987,True,B
895,31,26-35,False,Unknown,1222,Research & Development,11,4,Unknown,4,M,48,3,1, Research Scientist ,4,Unknown,14871,3,Unknown,0.19,3,2,1,11,2,3,6,0,2,1992,True,A
900,37,36-45,False,Travel Frequently,1231,Unknown,21,2,Medical,3,F,54,3,1, Sales Representative ,4,Married,21222,5,Unknown,0.15,3,2,1,11,3,3,5,0,0,1986,False,A
2207,39,36-45,False,Travel Rarely,1383,Unknown,2,3,Life Sciences,4,F,42,2,2, Human Resources ,4,Unknown,7790,8,False,0.11,3,3,2,13,2,3,5,0,4,1984,False,A
936,42,36-45,False,Unknown,462,Sales,14,2,Unknown,3,F,68,2,2, Sales Executive ,3,Unknown,7824,7,Unknown,0.17,3,1,0,11,6,3,5,0,3,1981,True,A
2208,30,26-35,False,Travel Rarely,231,Sales,8,2,Unknown,3,M,62,3,3, Sales Executive ,3,Unknown,9977,5,False,0.11,3,1,1,11,2,4,8,7,7,1993,False,A
997,50,46-55,False,Unknown,99999,Research & Development,1,2,Medical,4,M,66,3,4, Research Director ,4,Divorced,6615,9,False,0.22,3,3,1,32,1,2,5,1,3,1973,True,A
1048,59,56-65,False,Travel Rarely,1089,Sales,1,2,Unknown,2,M,66,3,3, Manager ,4,Unknown,11038,3,True,0.14,3,3,1,14,1,1,6,0,4,1964,True,A
2209,54,46-55,False,Unknown,1082,Sales,2,4,Life Sciences,3,F,41,2,3, Sales Executive ,3,Married,8392,6,False,0.11,3,2,1,13,4,3,9,7,0,1969,True,A
1071,56,56-65,False,Unknown,1240,Research & Development,9,3,Medical,1,F,63,3,1, Research Scientist ,3,Married,12154,2,False,0.19,3,2,1,18,4,3,5,0,3,1967,False,A
1116,48,46-55,False,Unknown,1262,Unknown,1,4,Unknown,1,M,35,4,4, Manager ,4,Single,16154,2,False,0.22,3,3,0,11,3,2,5,2,1,1975,True,A
1132,39,36-45,False,Unknown,439,Research & Development,9,3,Life Sciences,3,M,70,3,2, Laboratory Technician ,2,Single,8770,9,False,0.15,3,3,0,9,2,2,5,0,3,1984,False,B
2210,35,26-35,False,Travel Rarely,528,Unknown,8,4,Technical Degree,3,M,100,3,1, Human Resources ,3,Unknown,7108,1,False,0.17,3,2,0,6,2,1,5,1,4,1988,True,A
1171,42,36-45,False,Travel Rarely,647,Sales,4,4,Marketing,2,M,45,3,2, Sales Executive ,1,Single,2253,7,False,0.13,3,4,0,11,3,3,6,1,5,1981,False,B
1200,44,36-45,True,Unknown,1097,Research & Development,10,4,Unknown,3,M,96,3,1, Research Scientist ,3,Single,10826,1,True,0.11,3,3,0,6,4,3,6,0,2,1979,False,A
1202,29,26-35,False,Travel Rarely,942,Research & Development,15,1,Unknown,2,F,69,1,1, Research Scientist ,4,Married,26933,0,True,0.18,3,1,1,6,2,2,5,1,3,1994,False,A
2211,33,26-35,False,Unknown,147,Unknown,2,3,Human Resources,2,M,99,3,1, Human Resources ,3,Unknown,8429,1,False,0.13,3,4,1,5,2,3,5,1,4,1990,True,A
1245,54,46-55,False,Travel Frequently,966,Research & Development,1,4,Unknown,4,F,53,3,3, Manufacturing Director ,3,Unknown,9659,7,False,0.17,3,1,1,33,2,1,5,1,4,1969,False,A
