Employee_Number,Age,Age_Group,Attrition,Business_Travel,Daily_Rate,Department,Distance_From_Home,Education,Education_Field,Environment_Satisfaction,Gender,Hourly_Rate,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Satisfaction_Group,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_Since_Last_Promotion,Years_With_Curr_Manager,Date_Birth,Remote_Work
1402,43,36-45,False,Unknown,930,Research & Development,6,3,Medical,1,F,73,2,2, Research Scientist ,3,Single,4081,20003,1,True,14,3,1,Unknown,0,20,3,1,20,1,8,1980,False
1408,42,36-45,False,Travel Rarely,1147,Unknown,10,3,Human Resources,3,F,31,3,4, Manager ,1,Married,99999,16616,0,Unknown,14,3,3,Unknown,1,21,5,3,20,0,9,1981,False
1417,26,26-35,False,Travel Rarely,652,Research & Development,7,3,Unknown,3,M,100,4,1, Laboratory Technician ,1,Single,3578,23577,0,False,12,3,4,Unknown,0,8,2,3,7,0,7,1997,True
1421,29,26-35,True,Unknown,337,Research & Development,14,1,Other,3,F,84,3,3, Healthcare Representative ,4,Single,99999,22930,0,True,12,3,1,Unknown,0,11,1,3,8,7,7,1994,True
1422,54,46-55,False,Unknown,971,Research & Development,1,3,Unknown,4,F,54,3,4, Research Director ,4,Unknown,17328,5652,6,Unknown,19,3,4,Unknown,0,29,3,2,20,12,7,1969,False
1424,55,46-55,False,Unknown,1136,Research & Development,1,4,Unknown,2,M,81,4,4, Research Director ,4,Divorced,99999,12414,2,False,13,3,4,Unknown,2,31,4,4,7,0,0,1968,True
2165,40,36-45,False,Non Travel,663,Research & Development,9,4,Other,3,M,81,3,2, Laboratory Technician ,3,Unknown,99999,23099,3,False,11,3,3,Unknown,2,11,2,3,8,0,7,1983,True
2166,31,26-35,False,Unknown,326,Sales,8,2,Unknown,1,M,31,3,3, Sales Executive ,4,Divorced,10793,8386,1,Unknown,18,3,1,Unknown,1,13,5,3,13,9,9,1992,True
1457,46,46-55,True,Unknown,377,Sales,9,3,Marketing,1,M,52,3,3, Sales Executive ,4,Divorced,99999,15986,4,False,11,3,1,Unknown,1,28,1,4,7,4,3,1977,True
1460,45,36-45,False,Travel Rarely,1038,Research & Development,20,3,Medical,2,M,95,1,3, Healthcare Representative ,1,Unknown,10851,19863,2,True,18,3,2,Unknown,1,11,2,3,7,0,7,1978,False
1484,49,46-55,False,Travel Rarely,1490,Research & Development,7,4,Life Sciences,3,M,35,3,3, Healthcare Representative ,2,Divorced,10466,20948,3,Unknown,14,3,2,Unknown,2,29,3,3,8,0,7,1974,False
1497,29,26-35,False,Travel Rarely,1246,Sales,19,3,Unknown,3,M,77,2,2, Sales Executive ,3,Unknown,99999,23757,1,Unknown,14,3,3,Unknown,2,10,3,3,10,0,4,1994,True
1522,29,26-35,True,Unknown,224,Research & Development,1,4,Technical Degree,1,M,100,2,1, Research Scientist ,1,Single,2362,7568,6,False,13,3,3,Unknown,0,11,2,1,9,0,7,1994,True
1544,29,26-35,False,Unknown,441,Research & Development,8,1,Other,3,F,39,1,2, Healthcare Representative ,1,Unknown,99999,7288,3,False,13,3,3,Unknown,1,9,3,3,7,0,7,1994,True
2167,40,36-45,False,Travel Rarely,898,Human Resources,6,2,Unknown,3,M,38,3,4, Manager ,4,Single,99999,17381,1,True,21,4,4,Unknown,0,21,2,3,21,7,7,1983,True
2168,48,46-55,False,Unknown,99999,Sales,16,4,Life Sciences,3,F,96,3,2, Sales Executive ,3,Divorced,6439,13693,8,False,14,3,3,Unknown,1,18,2,3,8,7,7,1975,True
1572,53,46-55,True,Unknown,607,Research & Development,2,5,Unknown,3,F,78,2,3, Manufacturing Director ,4,Married,99999,14618,0,Unknown,16,3,2,Unknown,1,11,4,3,33,1,9,1970,True
1608,44,36-45,False,Unknown,1313,Research & Development,7,3,Medical,2,F,31,3,5, Research Director ,4,Unknown,99999,3549,0,True,14,3,4,Unknown,1,11,4,2,22,1,10,1979,False
1611,45,36-45,False,Unknown,1015,Research & Development,5,5,Unknown,3,F,50,1,2, Laboratory Technician ,1,Unknown,5769,23447,1,Unknown,14,3,1,Unknown,0,10,3,3,10,1,4,1978,False
1612,45,36-45,False,Non Travel,99999,Sales,26,3,Marketing,1,M,52,2,2, Sales Executive ,1,Unknown,4385,24162,1,Unknown,15,3,1,Unknown,1,10,2,3,10,4,5,1978,False
1615,34,26-35,False,Travel Frequently,426,Research & Development,10,4,Unknown,3,M,42,4,2, Manufacturing Director ,4,Unknown,99999,17000,1,Unknown,13,3,1,Unknown,1,9,3,3,9,7,2,1989,True
2169,39,36-45,False,Unknown,1387,Research & Development,10,5,Medical,2,M,76,3,2, Manufacturing Director ,1,Unknown,99999,3835,2,Unknown,13,3,4,Unknown,3,11,3,3,7,7,7,1984,False
1619,27,26-35,False,Unknown,1302,Research & Development,36,3,Unknown,4,M,99999,2,1, Laboratory Technician ,1,Divorced,4066,16290,1,False,11,3,1,Unknown,2,7,3,3,7,0,7,1996,True
1635,45,36-45,False,Travel Rarely,1329,Research & Development,2,2,Unknown,4,F,59,2,2, Manufacturing Director ,4,Divorced,99999,5388,1,Unknown,19,3,1,Unknown,2,10,3,3,10,3,9,1978,True
1642,44,36-45,False,Unknown,602,Unknown,1,5,Unknown,1,M,37,3,2, Human Resources ,4,Married,99999,10503,4,True,11,3,3,Unknown,0,14,3,3,10,0,2,1979,True
1653,25,18-25,False,Unknown,772,Research & Development,2,1,Life Sciences,4,M,77,4,2, Manufacturing Director ,3,Divorced,5206,4973,1,Unknown,17,3,3,Unknown,2,7,6,3,7,0,7,1998,False
2170,49,46-55,False,Unknown,809,Unknown,1,3,Unknown,3,M,36,3,4, Manager ,3,Single,99999,22384,4,Unknown,14,3,1,Unknown,0,23,2,3,8,0,0,1974,True
1691,48,46-55,True,Travel Frequently,99999,Unknown,7,2,Unknown,4,F,95,3,1, Sales Representative ,3,Unknown,2655,11740,2,Unknown,11,3,3,Unknown,2,19,3,3,9,7,7,1975,False
1693,26,26-35,False,Unknown,786,Research & Development,7,3,Medical,4,M,76,3,1, Laboratory Technician ,4,Unknown,2570,11925,1,False,20,4,3,Unknown,0,7,5,3,7,5,7,1997,True
1703,44,36-45,False,Travel Rarely,921,Research & Development,2,3,Life Sciences,3,F,96,4,3, Healthcare Representative ,4,Unknown,99999,14810,1,Unknown,19,3,2,Unknown,1,11,2,3,8,6,7,1979,True
2171,36,36-45,False,Unknown,530,Unknown,2,4,Unknown,3,F,51,3,2, Sales Representative ,4,Single,4502,7439,3,Unknown,15,3,3,Unknown,0,17,2,2,13,6,7,1987,True
1727,46,46-55,False,Unknown,717,Research & Development,13,4,Unknown,3,M,34,3,2, Healthcare Representative ,2,Single,99999,9697,6,False,14,3,4,Unknown,0,19,3,3,10,0,9,1977,True
1728,35,26-35,False,Unknown,1370,Research & Development,27,4,Life Sciences,4,M,49,3,2, Manufacturing Director ,3,Married,99999,5151,2,Unknown,16,3,2,Unknown,1,17,3,3,7,0,7,1988,True
1745,30,26-35,False,Travel Frequently,1312,Research & Development,2,4,Unknown,4,F,78,2,1, Research Scientist ,1,Unknown,4968,26427,0,Unknown,16,3,4,Unknown,0,10,2,3,9,0,7,1993,False
1754,30,26-35,False,Unknown,979,Sales,15,2,Marketing,3,M,94,2,3, Sales Executive ,1,Unknown,99999,3088,2,False,11,3,1,Unknown,1,11,2,3,7,1,7,1993,True
1756,33,26-35,False,Non Travel,1283,Sales,2,3,Marketing,4,F,62,3,2, Sales Executive ,2,Unknown,5147,10697,8,False,15,3,4,Unknown,0,13,2,2,11,1,7,1990,True
1764,32,26-35,False,Unknown,953,Research & Development,5,4,Unknown,2,M,65,3,1, Research Scientist ,2,Single,2718,17674,2,False,14,3,2,Unknown,0,12,3,3,7,0,7,1991,True
1816,30,26-35,False,Unknown,1092,Research & Development,10,3,Medical,1,F,64,3,3, Manufacturing Director ,3,Single,9667,2739,9,False,14,3,2,Unknown,0,9,3,3,7,0,2,1993,False
2172,45,36-45,False,Non Travel,589,Sales,2,4,Unknown,3,F,67,3,2, Sales Executive ,3,Married,5154,19665,4,Unknown,22,4,2,Unknown,2,10,3,4,8,5,7,1978,False
1934,47,46-55,False,Unknown,1169,Research & Development,14,4,Unknown,3,M,64,3,2, Research Scientist ,2,Married,99999,2125,8,Unknown,18,3,3,Unknown,1,11,4,4,8,1,7,1976,False
1951,34,26-35,False,Travel Rarely,1239,Sales,13,4,Medical,4,M,39,3,3, Sales Executive ,3,Divorced,99999,22914,1,False,18,3,3,Unknown,1,9,2,2,8,1,1,1989,True
1952,26,26-35,False,Unknown,157,Research & Development,1,3,Medical,3,M,95,3,1, Laboratory Technician ,1,Single,99999,20006,0,False,13,3,4,Unknown,0,8,6,3,7,7,6,1997,True
1965,27,26-35,False,Travel Rarely,954,Sales,9,3,Unknown,4,M,44,3,2, Sales Executive ,4,Unknown,99999,5099,1,Unknown,14,3,1,Unknown,0,11,5,3,7,0,7,1996,False
1967,31,26-35,True,Travel Frequently,754,Sales,26,4,Marketing,1,M,63,3,2, Sales Executive ,4,Unknown,99999,21075,1,True,11,3,3,Unknown,0,10,4,3,10,0,8,1992,True
2173,33,26-35,False,Travel Frequently,1303,Research & Development,7,2,Life Sciences,4,M,99999,3,2, Healthcare Representative ,3,Divorced,99999,18079,1,Unknown,20,3,3,Unknown,3,9,2,3,9,2,8,1990,True
1979,31,26-35,False,Unknown,697,Research & Development,10,3,Unknown,3,F,40,3,3, Research Director ,3,Married,99999,26862,4,False,20,4,3,Unknown,1,13,2,4,11,4,8,1992,True
2008,35,26-35,False,Unknown,1395,Research & Development,9,4,Medical,2,M,48,3,2, Research Scientist ,3,Unknown,5098,18698,1,False,19,3,2,Unknown,0,10,5,3,10,0,8,1988,True
2009,33,26-35,False,Travel Rarely,501,Research & Development,15,2,Unknown,2,F,95,3,2, Healthcare Representative ,4,Married,99999,21653,0,True,13,3,1,Unknown,1,11,6,3,9,8,1,1990,True
2014,39,36-45,False,Travel Rarely,116,Research & Development,24,1,Life Sciences,1,M,52,3,2, Research Scientist ,4,Single,99999,5340,7,False,13,3,1,Unknown,0,11,2,3,7,1,7,1984,False
2174,36,36-45,False,Travel Rarely,557,Sales,46,3,Unknown,4,F,94,2,3, Sales Executive ,4,Married,99999,12695,0,False,19,3,3,Unknown,2,10,2,3,9,3,4,1987,True
2034,41,36-45,False,Travel Rarely,582,Research & Development,28,4,Life Sciences,1,F,60,2,4, Manufacturing Director ,2,Married,13570,5640,0,False,23,3,3,Unknown,1,21,3,3,20,0,10,1982,True
2035,34,26-35,False,Unknown,704,Sales,28,3,Marketing,4,F,95,2,2, Sales Executive ,3,Married,6712,8978,1,False,21,4,4,Unknown,2,8,2,3,8,1,7,1989,False
2175,38,36-45,False,Travel Rarely,99999,Sales,10,2,Unknown,1,F,100,3,2, Sales Executive ,4,Married,99999,5982,1,False,11,3,3,Unknown,1,10,1,3,10,1,9,1985,True
2062,39,36-45,False,Travel Rarely,613,Research & Development,6,1,Unknown,4,M,42,2,3, Healthcare Representative ,1,Unknown,9991,21457,4,Unknown,15,3,1,Unknown,1,11,5,3,7,1,7,1984,True
28,34,26-35,False,Travel Rarely,419,Research & Development,7,4,Unknown,1,F,53,3,3, Research Director ,2,Single,99999,21293,0,False,11,3,3,Unknown,0,11,4,3,12,2,11,1989,False
2176,44,36-45,False,Travel Rarely,477,Research & Development,7,4,Medical,1,F,42,2,3, Healthcare Representative ,4,Married,10248,2094,3,Unknown,14,3,4,Unknown,1,24,4,3,22,5,17,1979,True
62,46,46-55,False,Unknown,1211,Sales,5,4,Unknown,1,M,98,3,2, Sales Executive ,4,Single,99999,20445,4,Unknown,21,3,3,Unknown,0,14,4,3,9,0,8,1977,True
199,41,36-45,False,Travel Frequently,857,Research & Development,10,3,Life Sciences,4,M,91,2,4, Manager ,1,Divorced,99999,12888,4,Unknown,13,3,2,Unknown,1,11,2,2,7,7,7,1982,False
343,39,36-45,False,Unknown,505,Research & Development,2,4,Unknown,3,F,64,3,3, Healthcare Representative ,3,Single,10938,6420,0,False,25,4,4,Unknown,0,20,1,3,19,11,8,1984,False
351,42,36-45,False,Travel Rarely,269,Research & Development,2,3,Medical,4,F,56,2,1, Laboratory Technician ,1,Divorced,2593,8007,0,True,11,3,3,Unknown,1,10,4,3,9,7,8,1981,True
428,33,26-35,False,Travel Frequently,553,Research & Development,5,4,Unknown,4,F,74,3,3, Manager ,2,Married,11878,23364,6,Unknown,11,3,2,Unknown,2,12,2,3,10,8,8,1990,True
464,35,26-35,False,Travel Rarely,1296,Research & Development,5,4,Technical Degree,3,M,62,3,3, Manufacturing Director ,2,Single,8095,18264,0,False,13,3,4,Unknown,0,17,5,3,16,0,13,1988,True
2177,33,26-35,True,Travel Rarely,1277,Unknown,15,1,Medical,2,M,56,3,3, Manager ,3,Married,99999,24619,7,Unknown,12,3,4,Unknown,0,15,2,4,7,7,7,1990,True
2178,40,36-45,False,Travel Rarely,302,Research & Development,6,3,Life Sciences,2,F,75,3,4, Manufacturing Director ,3,Single,99999,20364,7,False,15,3,3,Unknown,0,22,3,3,20,5,13,1983,False
731,41,36-45,False,Travel Rarely,427,Unknown,10,4,Human Resources,2,M,73,2,5, Manager ,4,Divorced,99999,8861,3,False,15,3,2,Unknown,3,23,2,2,21,12,6,1982,False
764,27,26-35,False,Unknown,975,Research & Development,7,3,Unknown,4,F,55,2,2, Healthcare Representative ,1,Unknown,99999,23398,8,False,19,3,1,Unknown,0,11,2,1,7,0,7,1996,False
2179,52,46-55,False,Travel Rarely,621,Unknown,3,4,Marketing,3,M,31,2,4, Manager ,1,Unknown,16856,10084,1,Unknown,11,3,1,Unknown,0,11,3,4,34,1,16,1971,True
851,51,46-55,False,Travel Rarely,1318,Unknown,26,4,Marketing,1,F,66,3,4, Manager ,3,Married,99999,5594,2,False,14,3,3,Unknown,1,11,2,2,20,4,17,1972,False
903,47,46-55,False,Travel Rarely,249,Sales,2,2,Marketing,3,F,35,3,2, Sales Executive ,4,Unknown,4537,17783,0,Unknown,22,4,1,Unknown,1,8,2,3,7,7,7,1976,True
905,50,46-55,False,Non Travel,881,Research & Development,2,4,Unknown,1,M,98,3,4, Manager ,1,Divorced,17924,4544,1,Unknown,11,3,4,Unknown,1,31,3,3,31,14,7,1973,False
942,35,26-35,False,Travel Rarely,1137,Research & Development,21,1,Life Sciences,4,F,51,3,2, Healthcare Representative ,4,Married,4014,19170,1,Unknown,25,4,4,Unknown,1,10,2,1,10,0,7,1988,True
1026,39,36-45,False,Travel Rarely,466,Research & Development,1,1,Unknown,4,F,65,2,4, Manufacturing Director ,4,Married,12742,7060,1,False,16,3,3,Unknown,1,11,3,3,21,11,8,1984,True
2180,39,36-45,False,Travel Frequently,945,Research & Development,22,3,Medical,4,F,82,3,3, Manufacturing Director ,1,Single,99999,5083,1,Unknown,13,3,3,Unknown,0,11,2,3,21,2,8,1984,False
1085,41,36-45,False,Unknown,509,Research & Development,7,2,Unknown,2,F,43,4,1, Research Scientist ,3,Unknown,3376,18863,1,False,13,3,3,Unknown,0,11,3,3,10,0,8,1982,False
2181,44,36-45,True,Unknown,1376,Human Resources,1,2,Medical,2,M,91,2,3, Human Resources ,1,Married,10482,2326,9,False,14,3,4,Unknown,1,24,1,3,20,3,6,1979,True
1109,42,36-45,False,Unknown,469,Unknown,2,2,Medical,4,M,35,3,4, Manager ,1,Unknown,99999,14399,0,False,17,3,4,Unknown,1,23,3,3,22,13,7,1981,False
1118,52,46-55,False,Travel Rarely,994,Research & Development,7,4,Life Sciences,2,M,87,3,3, Healthcare Representative ,2,Single,99999,15322,7,Unknown,19,3,4,Unknown,0,18,4,3,8,4,0,1971,True
1152,38,36-45,False,Unknown,433,Unknown,1,3,Unknown,3,M,37,4,1, Human Resources ,3,Unknown,99999,6004,1,False,13,3,4,Unknown,1,7,2,4,7,5,0,1985,True
2182,46,46-55,False,Unknown,991,Human Resources,1,2,Life Sciences,4,F,44,3,1, Human Resources ,1,Unknown,99999,22957,6,Unknown,12,3,3,Unknown,0,10,3,4,7,5,7,1977,True
1350,35,26-35,False,Unknown,482,Research & Development,4,4,Life Sciences,3,M,87,3,2, Research Scientist ,3,Single,4249,2690,1,Unknown,11,3,2,Unknown,0,11,3,3,9,1,1,1988,False
1514,28,26-35,False,Travel Rarely,1083,Research & Development,29,1,Life Sciences,3,M,96,1,2, Manufacturing Director ,2,Married,6549,3173,1,Unknown,14,3,2,Unknown,2,8,2,2,8,1,7,1995,True
1523,44,36-45,False,Unknown,136,Research & Development,28,3,Life Sciences,4,M,32,3,4, Research Director ,1,Married,99999,22074,3,False,13,3,3,Unknown,1,11,1,4,20,14,17,1979,True
1539,50,46-55,False,Unknown,333,Research & Development,22,5,Unknown,3,M,88,1,4, Research Director ,4,Unknown,14411,24450,1,Unknown,13,3,4,Unknown,0,11,2,3,32,13,9,1973,False
2183,55,46-55,False,Travel Rarely,685,Unknown,23,5,Marketing,3,M,60,2,5, Manager ,4,Unknown,19586,23037,1,False,21,4,3,Unknown,1,36,3,3,36,2,13,1968,True
1588,39,36-45,False,Unknown,1462,Sales,6,3,Unknown,4,M,38,4,3, Sales Executive ,3,Married,8237,4658,2,False,11,3,1,Unknown,1,11,3,3,7,7,6,1984,True
1617,49,46-55,False,Unknown,722,Research & Development,13,4,Unknown,2,F,84,3,1, Laboratory Technician ,1,Unknown,3211,22102,1,Unknown,14,3,4,Unknown,1,10,3,2,9,1,4,1974,True
1719,45,36-45,False,Unknown,99999,Research & Development,28,2,Technical Degree,4,F,48,2,4, Research Director ,2,Single,16704,17119,1,Unknown,11,3,3,Unknown,0,21,2,3,21,8,6,1978,False
2184,46,46-55,False,Unknown,1277,Sales,2,3,Unknown,3,M,74,3,3, Sales Executive ,4,Unknown,99999,5596,4,Unknown,12,3,2,Unknown,1,11,5,2,10,0,3,1977,False
1870,27,26-35,False,Unknown,1131,Research & Development,15,3,Unknown,4,F,77,2,1, Research Scientist ,1,Married,4774,23844,0,False,19,3,4,Unknown,1,11,2,3,7,7,3,1996,False
2031,42,36-45,False,Travel Rarely,300,Unknown,2,3,Unknown,1,M,56,3,5, Manager ,3,Married,99999,17312,5,Unknown,11,3,1,Unknown,0,24,2,2,22,4,14,1981,True
2065,49,46-55,False,Unknown,1023,Sales,2,3,Unknown,4,M,63,2,2, Sales Executive ,2,Married,99999,13243,2,Unknown,14,3,4,Unknown,0,17,3,2,9,0,8,1974,True
15,29,26-35,False,Travel Rarely,153,Research & Development,15,2,Life Sciences,4,F,49,2,2, Laboratory Technician ,3,Single,99999,12682,0,True,12,3,4,Unknown,0,10,3,3,9,0,8,1994,True
60,34,26-35,False,Non Travel,1065,Sales,12,4,Marketing,2,M,72,3,2, Sales Executive ,3,Unknown,4568,10034,0,False,20,4,3,Unknown,0,11,2,3,9,8,7,1989,False
2185,37,36-45,False,Unknown,1115,Research & Development,1,4,Unknown,1,M,51,2,2, Manufacturing Director ,3,Divorced,5993,2689,1,False,18,3,3,Unknown,1,11,2,3,7,0,7,1986,False
85,36,36-45,False,Unknown,1195,Research & Development,11,3,Unknown,2,M,95,2,2, Manufacturing Director ,2,Single,6499,22656,1,False,13,3,3,Unknown,0,6,3,3,6,0,3,1987,True
2186,45,36-45,False,Unknown,1316,Research & Development,29,3,Unknown,3,M,83,3,1, Research Scientist ,4,Single,3452,9752,5,Unknown,13,3,2,Unknown,0,9,2,2,6,0,3,1978,True
346,29,26-35,False,Travel Rarely,665,Research & Development,15,3,Unknown,3,M,60,3,1, Research Scientist ,4,Unknown,99999,22673,1,False,19,3,1,Unknown,0,6,1,3,6,1,5,1994,False
384,26,26-35,False,Unknown,1479,Research & Development,1,3,Unknown,3,F,84,3,2, Manufacturing Director ,2,Unknown,6397,26767,1,False,20,4,1,Unknown,1,6,6,1,6,1,4,1997,False
498,28,26-35,False,Unknown,304,Sales,9,4,Life Sciences,2,M,92,3,2, Sales Executive ,4,Single,99999,20750,1,False,16,3,4,Unknown,0,11,1,3,7,0,7,1995,True
551,42,36-45,False,Travel Frequently,1368,Research & Development,30,4,Technical Degree,4,F,99999,2,2, Healthcare Representative ,4,Married,99999,4386,0,False,11,3,4,Unknown,3,7,4,4,6,0,4,1981,True
604,31,26-35,False,Travel Rarely,828,Sales,2,1,Life Sciences,2,M,77,3,2, Sales Executive ,4,Unknown,99999,8346,4,True,13,3,3,Unknown,0,10,2,4,6,0,5,1992,True
2187,37,36-45,False,Travel Rarely,799,Research & Development,47,3,Unknown,4,F,59,3,3, Manufacturing Director ,4,Single,99999,23848,4,Unknown,17,3,4,Unknown,0,11,3,4,6,1,2,1986,True
626,37,36-45,False,Non Travel,142,Sales,9,4,Unknown,1,M,69,3,3, Sales Executive ,2,Divorced,99999,24666,1,False,13,3,4,Unknown,1,9,6,3,9,7,7,1986,False
2188,37,36-45,False,Travel Rarely,446,Research & Development,1,4,Life Sciences,2,F,65,3,2, Manufacturing Director ,2,Married,99999,15701,6,Unknown,12,3,2,Unknown,1,8,2,2,6,4,3,1986,False
2189,24,18-25,False,Travel Rarely,691,Research & Development,23,3,Medical,2,M,89,4,1, Research Scientist ,4,Unknown,2725,21630,1,Unknown,11,3,2,Unknown,2,11,3,3,6,1,4,1999,True
644,50,46-55,False,Unknown,1246,Unknown,3,3,Unknown,1,M,99,3,5, Manager ,2,Married,99999,7999,1,False,11,3,3,Unknown,1,11,2,3,32,10,7,1973,False
649,34,26-35,False,Unknown,254,Research & Development,1,2,Life Sciences,2,M,83,2,1, Research Scientist ,4,Unknown,3622,22794,1,True,13,3,4,Unknown,1,6,3,3,6,1,3,1989,True
714,27,26-35,False,Travel Frequently,1410,Sales,3,1,Medical,4,F,71,4,2, Sales Executive ,4,Unknown,99999,16673,1,Unknown,20,3,2,Unknown,2,11,3,3,6,0,4,1996,False
781,25,18-25,False,Unknown,883,Sales,42,1,Unknown,4,F,32,3,2, Sales Executive ,4,Single,6180,22807,1,False,23,4,2,Unknown,0,6,5,2,6,1,4,1998,False
2190,34,26-35,False,Unknown,304,Sales,25,3,Other,4,M,60,3,2, Sales Executive ,4,Single,6274,18686,1,False,22,4,3,Unknown,0,6,5,3,6,1,4,1989,True
804,34,26-35,False,Unknown,121,Research & Development,2,4,Unknown,3,F,86,2,1, Research Scientist ,1,Unknown,4381,7530,1,Unknown,11,3,3,Unknown,0,6,3,3,6,1,3,1989,True
2191,35,26-35,False,Unknown,950,Research & Development,7,3,Other,3,M,59,3,3, Manufacturing Director ,3,Single,99999,18869,3,False,21,4,2,Unknown,0,17,3,4,8,1,6,1988,False
856,35,26-35,False,Unknown,1343,Research & Development,16,1,Medical,2,F,53,2,1, Research Scientist ,1,Unknown,2559,17852,1,Unknown,11,3,4,Unknown,0,6,3,2,6,1,1,1988,False
998,33,26-35,False,Unknown,827,Research & Development,1,4,Unknown,3,F,84,4,2, Healthcare Representative ,2,Married,5488,20161,1,True,13,3,1,Unknown,1,11,2,3,6,1,2,1990,True
1120,29,26-35,False,Unknown,1107,Research & Development,28,4,Life Sciences,3,F,93,3,1, Research Scientist ,4,Divorced,2514,26968,4,False,22,4,1,Unknown,1,11,1,3,7,1,7,1994,False
1143,29,26-35,False,Travel Frequently,490,Research & Development,10,3,Unknown,4,F,61,3,1, Research Scientist ,2,Divorced,99999,17940,0,False,14,3,4,Unknown,2,8,2,2,7,1,1,1994,True
2192,34,26-35,False,Unknown,1400,Sales,9,1,Life Sciences,2,F,70,3,2, Sales Executive ,3,Married,99999,5829,1,Unknown,20,4,1,Unknown,0,11,3,2,6,1,3,1989,False
2193,28,26-35,False,Travel Rarely,1179,Research & Development,19,4,Medical,4,M,78,2,1, Laboratory Technician ,1,Married,3196,12449,1,Unknown,12,3,3,Unknown,3,6,2,3,6,3,3,1995,False
2194,44,36-45,False,Unknown,1117,Research & Development,2,1,Life Sciences,1,F,72,4,1, Research Scientist ,4,Married,99999,19982,1,Unknown,13,3,4,Unknown,1,10,5,3,10,7,7,1979,False
1251,31,26-35,False,Travel Rarely,1332,Research & Development,11,2,Unknown,3,M,80,3,2, Healthcare Representative ,1,Married,99999,17089,1,True,12,3,4,Unknown,0,6,2,2,6,0,1,1992,False
2195,26,26-35,False,Unknown,583,Research & Development,4,2,Life Sciences,3,M,53,3,1, Research Scientist ,4,Unknown,99999,9973,1,True,20,4,2,Unknown,0,11,2,2,8,2,2,1997,False
1438,47,46-55,False,Travel Rarely,465,Research & Development,1,3,Unknown,1,M,74,3,1, Research Scientist ,4,Unknown,3420,10205,7,False,12,3,3,Unknown,1,17,2,2,6,1,2,1976,True
2196,37,36-45,False,Unknown,1413,Research & Development,5,2,Unknown,3,M,84,4,1, Laboratory Technician ,3,Single,99999,25470,0,False,14,3,1,Unknown,0,7,2,1,6,1,3,1986,False
1574,32,26-35,False,Unknown,1200,Research & Development,1,4,Unknown,4,M,99999,3,2, Research Scientist ,1,Married,4087,25174,4,Unknown,14,3,2,Unknown,1,9,3,2,6,1,2,1991,True
1671,32,26-35,False,Unknown,977,Research & Development,2,3,Medical,4,M,45,3,2, Research Scientist ,2,Divorced,99999,25518,0,False,13,3,3,Unknown,2,10,4,2,9,1,6,1991,True
2197,33,26-35,False,Non Travel,530,Sales,16,3,Life Sciences,3,F,36,3,2, Sales Executive ,4,Unknown,5368,16130,1,True,25,4,3,Unknown,1,7,2,3,6,1,2,1990,False
2198,47,46-55,True,Unknown,1093,Sales,9,3,Unknown,3,M,82,1,4, Sales Executive ,3,Married,12936,24164,7,False,11,3,3,Unknown,0,25,3,1,23,14,10,1976,True
2199,41,36-45,True,Unknown,1102,Sales,1,2,Unknown,2,F,94,3,2, Sales Executive ,4,Unknown,99999,19479,8,True,11,3,1,Unknown,0,8,0,1,6,0,5,1982,False
2200,35,26-35,False,Travel Rarely,809,Research & Development,16,3,Medical,1,M,84,4,1, Laboratory Technician ,2,Married,99999,16479,0,Unknown,13,3,3,Unknown,1,6,5,3,5,0,3,1988,False
94,29,26-35,False,Travel Rarely,1328,Research & Development,2,3,Life Sciences,3,M,76,3,1, Research Scientist ,2,Married,99999,4956,0,False,23,4,4,Unknown,1,11,3,3,5,0,4,1994,False
2201,32,26-35,False,Travel Rarely,548,Research & Development,1,3,Life Sciences,2,M,66,3,2, Research Scientist ,2,Unknown,99999,7346,1,False,17,3,2,Unknown,2,10,3,3,10,0,9,1991,True
2202,35,26-35,False,Travel Rarely,1214,Research & Development,1,3,Medical,2,M,30,2,1, Research Scientist ,3,Single,99999,26278,1,False,18,3,1,Unknown,0,6,3,3,6,0,4,1988,False
112,56,56-65,False,Unknown,99999,Research & Development,13,3,Unknown,4,M,99999,1,3, Manufacturing Director ,4,Unknown,99999,21698,4,False,11,3,1,Unknown,0,37,3,2,6,0,2,1967,True
129,28,26-35,False,Unknown,120,Sales,4,3,Medical,2,M,43,3,2, Sales Executive ,3,Unknown,4221,8863,1,Unknown,15,3,2,Unknown,0,5,3,4,5,0,4,1995,True
142,25,18-25,True,Travel Rarely,240,Sales,5,3,Unknown,3,M,46,2,2, Sales Executive ,3,Single,99999,26959,1,True,11,3,4,Unknown,0,11,1,3,6,0,3,1998,True
161,56,56-65,True,Unknown,441,Research & Development,14,4,Life Sciences,2,F,72,3,1, Research Scientist ,2,Unknown,4963,4510,9,Unknown,18,3,1,Unknown,3,7,2,3,5,4,3,1967,True
164,26,26-35,False,Unknown,841,Research & Development,6,3,Unknown,3,F,46,2,1, Research Scientist ,2,Married,99999,23300,1,Unknown,19,3,3,Unknown,0,5,3,2,5,4,3,1997,False
